index,place,age,age_class,age_class2,x,y,distance,x_axis,Whether_job,title,r,,
225,Kaifeng,43,5,2,370.3112857,119.5431015,0,0.51683295,no,,0.85,,
226,Huaiyang,44,5,2,380.961468,142.4956709,25.30309915,0.517319127,no,,0.85,,
227,Runan,44,5,2,377.3933201,144.7592436,26.19177414,0.517635357,no,,0.85,,
228,Xi,44,5,2,380.1449142,173.1181765,54.47007354,0.518190768,no,,0.85,,
229,Guangshan,44,5,2,383.5412758,180.3136477,62.19398624,0.519844815,no,,0.85,,
230,Macheng,44,5,2,385.9707839,198.5282222,80.52247623,0.520154826,no,,0.85,,
231,Huanggang,44,5,2,384.4544463,214.3233008,95.82961532,0.520652691,yes,ä»___,2,,
232,Echeng,44,5,2,384.8328511,215.439781,96.98994281,0.525486409,no,,0.85,,
233,Huanggang,44,5,2,384.4544463,214.3233008,95.82961532,0.525900656,no,,0.85,,
234,Echeng,44,5,2,384.8328511,215.439781,96.98994281,0.52639596,no,,0.85,,
235,Huanggang,44,5,2,384.4544463,214.3233008,95.82961532,0.530695254,no,,0.85,,
236,Echeng,44,5,2,384.8328511,215.439781,96.98994281,0.532338595,no,,0.85,,
237,Huanggang,44,5,2,384.4544463,214.3233008,95.82961532,0.534381968,no,,0.85,,
238,Echeng,44,5,2,384.8328511,215.439781,96.98994281,0.535737051,no,,0.85,,
239,Huanggang,44,5,2,384.4544463,214.3233008,95.82961532,0.536207654,no,,0.85,,
240,Echeng,44,5,2,384.8328511,215.439781,96.98994281,0.536408406,no,,0.85,,
241,Huanggang,44,5,2,384.4544463,214.3233008,95.82961532,0.537333619,no,,0.85,,
242,Macheng,45,5,2,385.9707839,198.5282222,80.52247623,0.543892124,no,,0.85,,
243,Huanggang,45,5,2,384.4544463,214.3233008,95.82961532,0.545811579,no,,0.85,,
244,Echeng,45,5,2,384.8328511,215.439781,96.98994281,0.546018424,no,,0.85,,
245,Huanggang,45,5,2,384.4544463,214.3233008,95.82961532,0.546896515,no,,0.85,,
246,Echeng,45,5,2,384.8328511,215.439781,96.98994281,0.549812438,no,,0.85,,
247,Huanggang,45,5,2,384.4544463,214.3233008,95.82961532,0.553617625,no,,0.85,,
248,Macheng,45,5,2,385.9707839,198.5282222,80.52247623,0.556610255,no,,0.85,,
249,Huanggang,45,5,2,384.4544463,214.3233008,95.82961532,0.561251008,no,,0.85,,
250,Echeng,45,5,2,384.8328511,215.439781,96.98994281,0.561924528,no,,0.85,,
251,Huanggang,45,5,2,384.4544463,214.3233008,95.82961532,0.562625244,no,,0.85,,
252,Echeng,45,5,2,384.8328511,215.439781,96.98994281,0.56334023,no,,0.85,,
253,Huanggang,45,5,2,384.4544463,214.3233008,95.82961532,0.564186056,no,,0.85,,
254,Echeng,46,5,2,384.8328511,215.439781,96.98994281,0.568559243,no,,0.85,,
255,Huanggang,46,5,2,384.4544463,214.3233008,95.82961532,0.57048405,no,,0.85,,
256,Xishui,46,5,2,391.2831794,214.0608325,96.81643348,0.57375045,no,,0.85,,
257,Huanggang,46,5,2,384.4544463,214.3233008,95.82961532,0.573968393,no,,0.85,,
258,Xishui,46,5,2,391.2831794,214.0608325,96.81643348,0.574040515,no,,0.85,,
259,Huanggang,46,5,2,384.4544463,214.3233008,95.82961532,0.576026225,no,,0.85,,
260,Echeng,46,5,2,384.8328511,215.439781,96.98994281,0.576314846,no,,0.85,,
261,Huanggang,46,5,2,384.4544463,214.3233008,95.82961532,0.57731018,no,,0.85,,
262,Macheng,46,5,2,385.9707839,198.5282222,80.52247623,0.577485362,no,,0.85,,
263,Huanggang,46,5,2,384.4544463,214.3233008,95.82961532,0.578645201,no,,0.85,,
264,Echeng,47,6,2,384.8328511,215.439781,96.98994281,0.583982822,no,,0.85,,
265,Huanggang,47,6,2,384.4544463,214.3233008,95.82961532,0.586066678,no,,0.85,,
266,Echeng,47,6,2,384.8328511,215.439781,96.98994281,0.586506022,no,,0.85,,
267,Huanggang,47,6,2,384.4544463,214.3233008,95.82961532,0.586884067,no,,0.85,,
268,Echeng,47,6,2,384.8328511,215.439781,96.98994281,0.591060756,no,,0.85,,
269,Huanggang,47,6,2,384.4544463,214.3233008,95.82961532,0.592257105,no,,0.85,,
270,Echeng,47,6,2,384.8328511,215.439781,96.98994281,0.594795673,no,,0.85,,
271,Huanggang,47,6,2,384.4544463,214.3233008,95.82961532,0.59839605,no,,0.85,,
272,Huangpi,47,6,2,375.3883194,205.4662059,86.07296985,0.598629673,no,,0.85,,
273,Huanggang,47,6,2,384.4544463,214.3233008,95.82961532,0.608462768,no,,0.85,,
274,Hanyang,48,6,3,373.0542301,212.7019595,93.19923047,0.609886568,no,,0.85,,
275,Huanggang,48,6,3,384.4544463,214.3233008,95.82961532,0.611239717,no,,0.85,,
276,Echeng,48,6,3,384.8328511,215.439781,96.98994281,0.612290614,no,,0.85,,
277,Yangxin,48,6,3,374.0175138,212.7620192,93.29256534,0.614813718,no,,0.85,,
278,Daye,48,6,3,371.8282885,211.5167566,91.98616485,0.620780927,no,,0.85,,
279,Ruichang,48,6,3,399.2277296,230.6282386,114.7870568,0.620936463,no,,0.85,,
280,Jiujiang,48,6,3,404.9962861,229.5509702,115.3463498,0.621777799,no,,0.85,,
281,Yongxiu,48,6,3,402.5670684,244.5332881,129.0851745,0.622591527,no,,0.85,,
282,Fengxin,48,6,3,395.8148018,252.2320618,135.1176876,0.622640062,no,,0.85,,
283,Gaoan,48,6,3,395.709955,258.0909411,140.8566514,0.622969494,no,,0.85,,
284,Suichuan,48,6,3,382.5357934,304.0671049,179.3806353,0.624782495,no,,0.85,,
285,Yifeng,48,6,3,385.1261468,259.3771381,140.6166345,0.624995402,no,,0.85,,
286,Gaoan,48,6,3,395.709955,258.0909411,140.8566514,0.627031015,no,,0.85,,
287,Fengxin,48,6,3,395.8148018,252.2320618,135.1176876,0.627127675,no,,0.85,,
288,Xingzi,48,6,3,406.1035713,235.0462866,120.9217659,0.628779958,no,,0.85,,
289,Jiujiang,48,6,3,404.9962861,229.5509702,115.3463498,0.629021811,no,,0.85,,
290,Xingzi,48,6,3,406.1035713,235.0462866,120.9217659,0.630687529,no,,0.85,,
291,Jiujiang,48,6,3,404.9962861,229.5509702,115.3463498,0.634407903,no,,0.85,,
